address,date,district,price,project,server,source,spider,subdistrict,title,url
 星丰苑 - 莘庄二手房出售 -黎明路155弄,20180203120125,闵行,315 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,星丰苑精装两房双南户型采光十足2楼毗邻12号线怡丰城,http://sh.ganji.com/fang5/2916129051x.htm
 新家园西湖苑... - 莘庄二手房出售 -西环路777弄,20180203120125,闵行,230 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,230万可买2房了、满五唯一、无户口贷款、品质小区、随时好看,http://sh.ganji.com/fang5/2998964672x.htm
 莘城公寓 - 莘庄二手房出售 -宝城路158弄,20180203120125,闵行,700 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,上海莘城三期4号门、精装南北通电梯大三房，此价格送产权车位。,http://sh.ganji.com/fang5/2997275678x.htm
 莘城公寓 - 莘庄二手房出售 -宝城路158弄,20180203120125,闵行,580 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,稀罕南北通，卧室带阳台，楼层好，简单装修,http://sh.ganji.com/fang5/3011595353x.htm
 莘松三村 - 莘庄二手房出售 -莘沥路363弄,20180203120125,闵行,400 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,莘松三村65.16平米400.0万元,http://sh.ganji.com/fang5/3003845057x.htm
 名都新城(四... - 莘庄二手房出售 -友情路50弄,20180203120125,闵行,690 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,名都新城精装两房房南北通透户型正气看房方便视野开阔通风性好,http://sh.ganji.com/fang5/2900666853x.htm
 中祥哥德堡 - 莘庄二手房出售 -珠城路99弄,20180203120125,闵行,715 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,房源南北通，卧室带阳台，地铁沿线,http://sh.ganji.com/fang5/2920334226x.htm
 黎安四村 - 莘庄二手房出售 -水清路1100弄,20180203120125,闵行,210 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,黎安四村精装挑高一楼带天井位置安静靠黎安公园毗邻12,http://sh.ganji.com/fang5/2924262499x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120125,闵行,460 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,接受置换南北双阳台，家具家电全送，近公交站菜市场,http://sh.ganji.com/fang5/2928949423x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120125,闵行,390 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,大两房，卧室带阳台，客厅朝南，大阳台,http://sh.ganji.com/fang5/2920815612x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120125,闵行,405 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,南北通两房送30万装修，家具全送接受置换，环境好,http://sh.ganji.com/fang5/2928728785x.htm
 东苑福邸 - 莘庄二手房出售 -群英路88弄,20180203120125,闵行,680 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,东苑福邸精装三房，满五税少，紧邻乐购，近地铁12号线房东急售,http://sh.ganji.com/fang5/2914223919x.htm
 星丰苑 - 莘庄二手房出售 -黎明路155弄,20180203120125,闵行,238 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,12号线西子国际附近新降价一室，满五唯一，看中诚意还可谈,http://sh.ganji.com/fang5/2913735345x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120125,闵行,299 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,刚出新房、小区中心位置、户型全明、目前钥匙委托、随时可以看房,http://sh.ganji.com/fang5/2913097731x.htm
 阳明国际花苑 - 莘庄二手房出售 -山花路108弄,20180203120125,闵行,660 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,阳明国际花苑精装3房2厅2卫南北通透采光刚好满五唯一,http://sh.ganji.com/fang5/2911996326x.htm
 新家园西湖苑... - 莘庄二手房出售 -西环路777弄,20180203120125,闵行,230 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,230万可买2房了、满五唯一、无户口贷款、品质小区、随时好看,http://sh.ganji.com/fang5/2905101141x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120125,闵行,355 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,355的大三房，满五唯一，价格有空间,http://sh.ganji.com/fang5/2903205045x.htm
 中国铁建香榭... - 莘庄二手房出售 -扶兰路,20180203120125,闵行,335 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,这套房您看过了吗别墅中的高层，依山傍水，景观喜人，惹了眼,http://sh.ganji.com/fang5/2893733025x.htm
 星丰苑 - 莘庄二手房出售 -黎明路155弄,20180203120125,闵行,205 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,《特价房》户型全明、大1房、小区中心位置、满五唯一、随时好看,http://sh.ganji.com/fang5/2908627279x.htm
 莲浦花苑 - 莘庄二手房出售 -沪闵路6988弄,20180203120125,闵行,535 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,报春路新出:近南方商城近地铁精装两房带车位闹中取静,http://sh.ganji.com/fang5/2905275756x.htm
 南郊别墅(公... - 莘庄二手房出售 -中春路3455弄,20180203120125,闵行,410 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,南郊别墅南北通透电梯大两房业主又降10万急售带产权车位,http://sh.ganji.com/fang5/2898948484x.htm
 沁春园一村 - 莘庄二手房出售 -莘西南路400弄,20180203120125,闵行,300 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"特价钥匙房现场实堪低于市场价30万家具家电全送,-镇-",http://sh.ganji.com/fang5/2899044208x.htm
 沁春园三村 - 莘庄二手房出售 -沁春路1366弄,20180203120125,闵行,480 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,钥匙房新上架精装家具家电全送絶对拎包入住已出国降价急售,http://sh.ganji.com/fang5/2877808233x.htm
清馨苑- 莘庄二手房出售 -申北路385号,20180203120125,闵行,285 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"靠莘庄版块:5号线沿线精致两房南北通户型,附送家具家电!",http://sh.ganji.com/fang5/2893137573x.htm
申莘二村- 莘庄二手房出售 ,20180203120125,闵行,285 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,精装修首次出售价格实惠，,http://sh.ganji.com/fang5/2908067905x.htm
