address,date,district,price,project,server,source,spider,subdistrict,title,url
 莘松五村 - 莘庄二手房出售 -莘沥路501弄,20180202015412,闵行,360 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,实验小学正两房无小孩上学价格可谈随时看房,http://sh.ganji.com/fang5/2999848394x.htm
 莘松三村 - 莘庄二手房出售 -莘沥路363号,20180202015412,闵行,320 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,莘松三村新出笋盘低于市场30万看房有钥匙,http://sh.ganji.com/fang5/2945187515x.htm
 星丰苑 - 莘庄二手房出售 -黎明路155弄,20180202015412,闵行,315 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,星丰苑精装两房双南户型采光十足2楼毗邻12号线怡丰城,http://sh.ganji.com/fang5/2916129051x.htm
 新家园西湖苑... - 莘庄二手房出售 -西环路777弄,20180202015412,闵行,230 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,230万可买2房了、满五唯一、无户口贷款、品质小区、随时好看,http://sh.ganji.com/fang5/2998964672x.htm
 莘城公寓 - 莘庄二手房出售 -宝城路158弄,20180202015412,闵行,700 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,上海莘城三期4号门、精装南北通电梯大三房，此价格送产权车位。,http://sh.ganji.com/fang5/2997275678x.htm
 中祥哥德堡 - 莘庄二手房出售 -珠城路99弄,20180202015412,闵行,715 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,房源南北通，卧室带阳台，地铁沿线,http://sh.ganji.com/fang5/3010572629x.htm
 莘松三村 - 莘庄二手房出售 -莘沥路363弄,20180202015412,闵行,400 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,莘松三村65.16平米400.0万元,http://sh.ganji.com/fang5/3003845057x.htm
 莘松五村 - 莘庄二手房出售 -莘沥路501弄,20180202015412,闵行,306 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,经典一居室，总价低，闵实验学籍名额未用，位置好，周边陪套成熟,http://sh.ganji.com/fang5/2920931104x.htm
 莘松三村 - 莘庄二手房出售 -莘沥路363弄,20180202015412,闵行,310 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,新挂牌房源实验小学满五年唯一产权清晰无户口到价收钱,http://sh.ganji.com/fang5/2926761241x.htm
 东苑福邸 - 莘庄二手房出售 -群英路88弄,20180202015412,闵行,680 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,东苑福邸精装三房，满五税少，紧邻乐购，近地铁12号线房东急售,http://sh.ganji.com/fang5/2914223919x.htm
